,Restaurant_id,Cuisine Style,Price Range,Number of Reviews
19,id_2791,"['Chinese', 'Asian']",$$ - $$$,18
32,id_1327,,,1
13,id_4637,,$,11
33,id_2434,['Vietnamese'],,4
37,id_5209,"['Chinese', 'Japanese', 'Seafood']",$$ - $$$,74
61,id_1620,,,2
23,id_72,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,475
28,id_10057,,,4
83,id_3670,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,17
90,id_499,"['French', 'Vegetarian Friendly', 'Vegan Options']",$,55
105,id_1940,,,
31,id_2006,,,
176,id_1856,,,
16,id_5257,"['Japanese', 'Asian', 'Thai', 'Vietnamese']",,4
8,id_2690,"['Cafe', 'European']",,1
1,id_1535,"['Asian', 'Nepali']",$$ - $$$,15
3,id_3456,,,3
15,id_1401,"['Cafe', 'Vegetarian Friendly']",$$ - $$$,37
6,id_1720,"['Italian', 'Pizza', 'Seafood']",$,82
10,id_6578,"['Mediterranean', 'Spanish']",$,12
91,id_1466,"['Cafe', 'Turkish', 'Middle Eastern']",$$ - $$$,24
99,id_1837,"['Chinese', 'Asian', 'Vegetarian Friendly']",$$ - $$$,29
88,id_8,"['Indian', 'Asian', 'Healthy']",$$ - $$$,1677
58,id_547,"['Chinese', 'Japanese', 'Sushi']",$$ - $$$,742
94,id_1721,"['Bar', 'British', 'Pub']",$$ - $$$,66
73,id_6029,,,3
45,id_11945,"['Bar', 'European', 'British', 'Pub']",,15
164,id_1370,,,6
118,id_1508,,,2
87,id_1365,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,34
35,id_2045,"['Italian', 'Mexican', 'Pizza']",$$ - $$$,36
74,id_7122,"['Bar', 'International']",$$ - $$$,95
133,id_873,['Greek'],,3
169,id_11299,"['French', 'Bar', 'Cafe']",$,11
5,id_1418,"['Bar', 'European', 'Portuguese']",$$ - $$$,45
65,id_1981,"['European', 'Hungarian']",$,12
29,id_8349,"['Bar', 'Mediterranean', 'Spanish']",$,16
11,id_5312,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,160
22,id_13016,"['Quick Bites', 'Bar', 'British']",$$ - $$$,95
24,id_14973,"['Quick Bites', 'British']",$$ - $$$,18
41,id_5459,"['Asian', 'Thai', 'Vegan Options']",$$ - $$$,167
89,id_1018,"['French', 'European']",$$$$,58
17,id_11121,"['Bar', 'Pub']",$$ - $$$,7
12,id_4066,"['Italian', 'Pizza', 'European']",$$ - $$$,406
30,id_1841,"['American', 'European', 'Diner']",$$ - $$$,31
79,id_35,"['Seafood', 'Mediterranean', 'Greek']",$$ - $$$,2882
42,id_164,"['European', 'Healthy', 'Soups']",$$ - $$$,111
25,id_1076,"['Polish', 'International', 'European']",$,2
55,id_2622,['Cafe'],$,5
63,id_150,"['Mediterranean', 'Healthy', 'Vegetarian Friendly']",$,1744
103,id_197,"['French', 'European', 'Healthy']",$$ - $$$,632
52,id_9231,"['Asian', 'Vietnamese']",$,40
70,id_643,"['Italian', 'Pizza']",$,22
86,id_1482,"['Dutch', 'Cafe', 'European']",$,17
51,id_10142,,$,9
69,id_2273,"['Chinese', 'Hunan', 'Asian']",$$ - $$$,184
109,id_4591,"['German', 'European', 'Vegetarian Friendly']",$$ - $$$,43
77,id_773,"['Italian', 'Mediterranean', 'European']",$$ - $$$,191
64,id_52,"['Irish', 'Seafood', 'European']",$$ - $$$,2535
183,id_3566,['Italian'],,1
163,id_318,"['European', 'Healthy', 'Vegetarian Friendly']",$$ - $$$,98
159,id_719,"['French', 'German', 'Vegetarian Friendly']",$$ - $$$,206
161,id_3501,"['French', 'Cafe', 'International']",,4
187,id_2847,,,2
134,id_270,"['Polish', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,244
184,id_10665,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$,25
181,id_3552,,,
139,id_86,,,
165,id_697,,,
219,id_6382,,,
50,id_1907,"['Chinese', 'Fast Food', 'Sushi']",$,16
59,id_10032,,,2
85,id_1461,"['Chinese', 'Japanese', 'Seafood']",$,350
9,id_4209,"['Italian', 'Pizza', 'Fast Food']",$,80
80,id_13815,"['Quick Bites', 'Mexican', 'Fast Food']",$,30
97,id_538,"['Cafe', 'Healthy', 'Vegetarian Friendly']",$,83
36,id_5842,"['Italian', 'Bar']",$$ - $$$,109
100,id_2904,['Italian'],,4
67,id_2068,"['Seafood', 'Mediterranean', 'Spanish']",$$ - $$$,150
81,id_1012,"['Japanese', 'Sushi', 'Asian']",,20
93,id_689,"['Latin', 'Venezuelan', 'South American']",$$ - $$$,31
62,id_3662,"['Mediterranean', 'Spanish']",$,26
66,id_533,"['Japanese', 'Asian', 'Fusion']",$$$$,1264
57,id_5510,,,6
75,id_1247,,,3
47,id_75,"['Belgian', 'European', 'Vegetarian Friendly']",$$ - $$$,786
26,id_2763,"['Spanish', 'Wine Bar']",$$ - $$$,11
104,id_3341,"['European', 'Portuguese']",,3
76,id_887,"['Mediterranean', 'European', 'Contemporary']",$$ - $$$,78
78,id_6025,"['Cafe', 'Spanish']",$,32
121,id_4116,['Italian'],$,44
178,id_1773,"['Turkish', 'Middle Eastern', 'Vegetarian Friendly']",$,17
60,id_8755,"['Specialty Food Market', 'German', 'Deli']",$,19
210,id_716,"['Fast Food', 'European', 'Healthy']",$,9
202,id_7996,['Spanish'],,2
228,id_2946,,$,8
151,id_14996,"['Bar', 'European', 'British']",$$ - $$$,129
207,id_1921,['Spanish'],,101
147,id_4110,['Spanish'],,2
154,id_252,"['Cafe', 'European']",$,47
233,id_5042,"['Latin', 'Argentinean', 'Vegetarian Friendly']",$,46
168,id_1539,"['Italian', 'Mediterranean', 'European']",$$ - $$$,49
192,id_1151,,$$ - $$$,149
232,id_1239,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,384
277,id_5055,,,4
256,id_2361,"['French', 'Spanish', 'Wine Bar']",$$ - $$$,23
266,id_1244,"['Chinese', 'Sushi', 'Asian']",$$ - $$$,66
132,id_6583,"['Cafe', 'British', 'Vegetarian Friendly']",$,38
221,id_2617,,,3
173,id_3803,"['Quick Bites', 'Bar', 'Pub']",$,53
126,id_2423,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,650
230,id_4920,"['Italian', 'Pizza', 'Spanish']",,13
247,id_2410,"['European', 'Portuguese']",,3
240,id_3582,"['Cafe', 'Spanish']",$$ - $$$,15
175,id_4073,"['Mediterranean', 'Spanish']",$$ - $$$,55
318,id_460,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,65
